Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
397302,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
397321,00000285,false,Rx,0,8,00,00,00,00,00,00,21,A8,
397326,00000002,false,Rx,0,5,0D,00,00,07,D7,00,00,00,
401344,000001F9,false,Rx,0,8,28,00,14,69,00,00,51,A8,
401359,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
405455,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
405471,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
405476,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
409607,00000292,false,Rx,0,8,FF,F8,0D,80,0F,FE,0E,00,
409623,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E1,
413655,00000176,false,Rx,0,7,00,00,02,47,00,00,04,00,
413671,000001F9,false,Rx,0,8,28,00,14,82,00,00,51,A8,
417757,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DB,40,
417774,00000002,false,Rx,0,5,0D,00,00,07,39,00,00,00,
417778,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
421864,00000284,false,Rx,0,8,00,00,00,00,00,00,24,AA,
421880,00000174,false,Rx,0,8,FF,EF,FE,AA,05,00,00,00,
425961,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
425977,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
425982,00000002,false,Rx,0,5,0D,00,00,07,0A,00,00,00,
430053,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
430069,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
430073,000006E2,false,Rx,0,3,00,00,7B,00,00,00,00,00,
434094,00000280,false,Rx,0,8,03,3E,C0,00,00,00,DA,40,
434111,00000002,false,Rx,0,5,0D,00,00,07,28,00,00,00,
438259,00000002,false,Rx,0,5,0D,00,00,07,1B,00,00,00,
438275,00000284,false,Rx,0,8,00,00,00,00,00,00,25,AB,
438280,00000174,false,Rx,0,8,FF,EF,FE,AA,07,00,00,00,
442331,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
442347,00000180,false,Rx,0,8,14,69,32,23,3C,00,38,11,
446445,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
446462,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
446467,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,0E,00,
450547,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
450564,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
454632,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
454652,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D5,40,
458734,00000002,false,Rx,0,5,0D,00,00,07,7D,00,00,00,
458751,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
462715,00000285,false,Rx,0,8,00,00,00,00,00,00,26,AD,
462729,00000284,false,Rx,0,8,00,00,00,00,00,00,26,AC,
462734,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
466873,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
466894,00000002,false,Rx,0,5,0D,00,00,07,4E,00,00,00,
466898,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
470961,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
470979,00000180,false,Rx,0,8,14,82,32,23,3D,00,3B,11,
475089,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DB,40,
475105,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
479207,00000002,false,Rx,0,5,0D,00,00,07,5F,00,00,00,
479223,00000174,false,Rx,0,8,FF,EF,FE,AA,0B,00,00,00,
483272,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
483288,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
483293,00000182,false,Rx,0,8,00,00,00,00,00,1C,40,CF,
487405,000001F9,false,Rx,0,8,28,00,14,82,00,00,51,A8,
487422,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
491482,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E1,
