Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
640833453,00000002,false,Rx,0,5,0D,00,00,07,1B,00,00,00,
640837462,00000174,false,Rx,0,8,FF,EF,FE,AA,0A,00,00,00,
640837478,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
640837482,00000176,false,Rx,0,7,00,00,02,50,00,00,08,00,
640841585,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640841607,00000180,false,Rx,0,8,14,9B,32,33,3C,00,30,10,
640846332,00000002,false,Rx,0,5,0D,00,00,07,6C,00,00,00,
640846354,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
640849760,00000160,false,Rx,0,7,33,C3,23,00,08,FF,E8,00,
640849776,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640849780,00000002,false,Rx,0,5,0D,00,00,07,7D,00,00,00,
640854415,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
640854438,00000174,false,Rx,0,8,FF,EF,FE,AA,0C,00,00,00,
640854442,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
640857942,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E0,
640857958,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640862047,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
640862068,00000002,false,Rx,0,5,0D,00,00,07,4E,00,00,00,
640866333,00000176,false,Rx,0,7,00,00,02,50,00,00,0C,00,
640866356,00000174,false,Rx,0,8,FF,EF,FE,AA,0D,00,00,00,
640870331,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
640870348,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640870352,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
640874340,00000160,false,Rx,0,7,33,C3,1F,00,08,FF,E8,00,
640874362,00000182,false,Rx,0,8,00,00,00,00,00,13,00,CF,
640874365,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
640878587,00000176,false,Rx,0,7,00,00,02,4B,00,00,0D,00,
640878609,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640882554,00000182,false,Rx,0,8,00,00,00,00,00,14,00,CF,
640882577,000001F9,false,Rx,0,8,28,00,14,B4,00,00,51,A8,
640886683,00000176,false,Rx,0,7,00,00,02,50,00,00,0F,00,
640886704,00000284,false,Rx,0,8,00,00,00,00,00,00,50,D6,
640890658,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
640890673,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
640890677,00000182,false,Rx,0,8,00,00,00,00,00,15,00,CF,
640894751,000001F9,false,Rx,0,8,28,00,14,B4,00,00,51,A8,
640894767,00000174,false,Rx,0,8,FF,EF,FE,AA,00,00,00,00,
640898857,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
640898872,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640898876,00000160,false,Rx,0,7,33,C3,24,00,08,FF,E8,00,
640902924,00000002,false,Rx,0,5,0D,00,00,07,82,00,00,00,
640902939,00000182,false,Rx,0,8,00,00,00,00,00,16,00,CF,
640907043,000001F9,false,Rx,0,8,28,00,14,B4,00,00,51,A8,
640907059,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
640911126,00000160,false,Rx,0,7,33,C3,1F,00,08,FF,E8,00,
640911141,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640911144,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
640915227,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
640915244,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
640915247,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
640919322,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640919337,00000002,false,Rx,0,5,0D,00,00,07,E4,00,00,00,
640923423,00000182,false,Rx,0,8,00,00,00,00,00,18,00,CF,
640923438,000001F9,false,Rx,0,8,28,00,14,82,00,00,51,A8,
640927523,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
640927538,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
640927541,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
640931629,00000002,false,Rx,0,5,0D,00,00,07,F5,00,00,00,
640931644,00000160,false,Rx,0,7,33,C3,20,00,08,FF,E8,00,
640935697,00000180,false,Rx,0,8,14,82,32,03,3C,00,39,10,
640935712,00000292,false,Rx,0,8,FF,F8,16,80,0F,FE,00,00,
640939800,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
640939815,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
640939818,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640943900,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
640943916,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
640947975,000001F9,false,Rx,0,8,28,00,14,9B,00,00,51,A8,
640947998,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
640948005,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640952180,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
640952204,00000002,false,Rx,0,5,0D,00,00,07,D7,00,00,00,
640952209,00000160,false,Rx,0,7,33,C3,21,00,08,FF,E8,00,
640956134,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
640956152,00000160,false,Rx,0,7,33,C3,24,00,08,FF,E8,00,
640960281,0000054C,false,Rx,0,8,78,78,C0,00,00,80,04,08,
640960300,00000002,false,Rx,0,5,0D,00,00,07,28,00,00,00,
640964397,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640964412,00000160,false,Rx,0,7,33,C3,21,00,08,FF,E8,00,
640964415,00000176,false,Rx,0,7,00,00,02,50,00,00,07,00,
640968497,00000285,false,Rx,0,8,00,00,00,00,00,00,54,DB,
640968512,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640972554,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
640972570,00000002,false,Rx,0,5,0D,00,00,07,39,00,00,00,
640972574,00000174,false,Rx,0,8,FF,EF,FE,AA,07,00,00,00,
640976677,00000174,false,Rx,0,8,FF,EF,FE,AA,08,00,00,00,
640976692,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
640980780,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640980796,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
640980800,00000002,false,Rx,0,5,0D,00,00,07,0A,00,00,00,
640984872,00000174,false,Rx,0,8,FF,EF,FE,AA,09,00,00,00,
640984887,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
640988953,00000160,false,Rx,0,7,33,C3,20,00,08,FF,E8,00,
640988969,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
640993049,00000002,false,Rx,0,5,0D,00,00,07,1B,00,00,00,
640993065,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
640993068,00000174,false,Rx,0,8,FF,EF,FE,AA,0A,00,00,00,
640997139,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
640997155,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
641001255,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641001271,00000002,false,Rx,0,5,0D,00,00,07,6C,00,00,00,
641005399,00000176,false,Rx,0,7,00,00,02,4D,00,00,0A,00,
641005415,00000174,false,Rx,0,8,FF,EF,FE,AA,0B,00,00,00,
641009452,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
641009467,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
641009472,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641009476,00000002,false,Rx,0,5,0D,00,00,07,7D,00,00,00,
641013537,00000176,false,Rx,0,7,00,00,02,4B,00,00,0B,00,
641013556,00000174,false,Rx,0,8,FF,EF,FE,AA,0C,00,00,00,
641017693,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641017711,00000176,false,Rx,0,7,00,00,02,52,00,00,0C,00,
641021762,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641021780,00000002,false,Rx,0,5,0D,00,00,07,4E,00,00,00,
641021783,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
641025880,00000180,false,Rx,0,8,14,B4,32,03,3C,00,32,10,
641025899,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
641029948,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
641029966,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641029971,00000002,false,Rx,0,5,0D,00,00,07,5F,00,00,00,
641034034,00000174,false,Rx,0,8,FF,EF,FE,AA,0E,00,00,00,
641034053,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
641038140,00000182,false,Rx,0,8,00,00,00,00,00,13,00,CF,
641038154,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641042204,00000002,false,Rx,0,5,0D,00,00,07,A0,00,00,00,
641042219,00000174,false,Rx,0,8,FF,EF,FE,AA,0D,00,00,00,
641046298,00000174,false,Rx,0,8,FF,EF,FE,AA,0F,00,00,00,
641046313,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
641046316,00000180,false,Rx,0,8,14,B4,32,23,3C,00,34,10,
641050460,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641050475,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641050478,00000002,false,Rx,0,5,0D,00,00,07,B1,00,00,00,
641054567,00000176,false,Rx,0,7,00,00,02,50,00,00,0F,00,
641054583,00000174,false,Rx,0,8,FF,EF,FE,AA,00,00,00,00,
641058682,00000580,false,Rx,0,5,00,81,40,BE,70,00,00,00,
641058697,0000054C,false,Rx,0,8,78,78,C0,00,00,80,04,08,
641062769,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641062785,00000002,false,Rx,0,5,0D,00,00,07,82,00,00,00,
641062788,00000174,false,Rx,0,8,FF,EF,FE,AA,01,00,00,00,
641066846,000001F9,false,Rx,0,8,28,00,14,B4,00,00,51,A8,
641066869,00000176,false,Rx,0,7,00,00,02,4B,00,00,00,00,
641070906,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641070923,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
641075032,00000174,false,Rx,0,8,FF,EF,FE,AA,02,00,00,00,
641075048,00000176,false,Rx,0,7,00,00,02,52,00,00,02,00,
641075051,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
641079084,00000560,false,Rx,0,3,48,70,00,00,00,00,00,00,
641079099,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641083220,00000002,false,Rx,0,5,0D,00,00,07,E4,00,00,00,
641083237,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
641083241,00000174,false,Rx,0,8,FF,EF,FE,AA,03,00,00,00,
641087278,00000285,false,Rx,0,8,00,00,00,00,00,00,5A,E1,
641087291,000001F9,false,Rx,0,8,28,00,14,B4,00,00,51,A8,
641091421,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641091434,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641091438,00000002,false,Rx,0,5,0D,00,00,07,F5,00,00,00,
641095499,00000174,false,Rx,0,8,FF,EF,FE,AA,04,00,00,00,
641095513,00000180,false,Rx,0,8,14,B4,32,03,3C,00,39,10,
641099559,000001F9,false,Rx,0,8,28,00,14,B4,00,00,51,A8,
641099580,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641103653,00000176,false,Rx,0,7,00,00,02,4D,00,00,03,00,
641103668,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
641103671,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
641107792,00000180,false,Rx,0,8,14,B4,32,03,3C,00,3A,10,
641107810,000001F9,false,Rx,0,8,28,00,14,B4,00,00,51,A8,
641111881,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641111897,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
641116044,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E1,
641116065,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641120043,00000180,false,Rx,0,8,14,B4,32,03,3C,00,3B,10,
641120057,00000551,false,Rx,0,8,7C,BF,00,80,FF,02,80,FF,
641120060,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641124208,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
641124225,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
641128235,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
641128251,00000180,false,Rx,0,8,14,B4,32,03,3C,00,3C,10,
641132322,000001F9,false,Rx,0,8,28,00,14,B4,00,00,51,A8,
641132339,00000002,false,Rx,0,5,0D,00,00,07,39,00,00,00,
641132345,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
641136454,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
641136472,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641140555,00000160,false,Rx,0,7,33,C3,1F,00,08,FF,E8,00,
641140571,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641140576,00000002,false,Rx,0,5,0D,00,00,07,0A,00,00,00,
641144597,00000174,false,Rx,0,8,FF,EF,FE,AA,05,00,00,00,
641144613,00000174,false,Rx,0,8,FF,EF,FE,AA,09,00,00,00,
641148728,00000284,false,Rx,0,8,00,00,00,00,00,00,5D,E3,
641148744,000001F9,false,Rx,0,8,28,00,14,B4,00,00,51,A8,
641148748,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641152775,00000002,false,Rx,0,5,0D,00,00,07,1B,00,00,00,
641152795,00000176,false,Rx,0,7,00,00,02,4B,00,00,09,00,
641156913,00000174,false,Rx,0,8,FF,EF,FE,AA,0A,00,00,00,
641156929,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641156934,00000182,false,Rx,0,8,00,00,00,00,00,1F,00,CF,
641160974,0000054C,false,Rx,0,8,77,78,C0,00,00,80,04,08,
641160993,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641165101,00000002,false,Rx,0,5,0D,00,00,07,6C,00,00,00,
641165118,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
641169210,00000176,false,Rx,0,7,00,00,02,50,00,00,0A,00,
641169225,00000160,false,Rx,0,7,33,C3,20,00,08,FF,E8,00,
641169230,000001F9,false,Rx,0,8,28,00,14,CD,00,00,51,A8,
641173324,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641173340,00000560,false,Rx,0,3,48,71,00,00,00,00,00,00,
641177409,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641177424,00000180,false,Rx,0,8,14,CD,32,03,3C,00,30,10,
641177429,00000160,false,Rx,0,7,33,C3,20,00,08,FF,E8,00,
641181466,00000182,false,Rx,0,8,00,00,00,00,00,11,00,CF,
641181482,00000002,false,Rx,0,5,0D,00,00,07,4E,00,00,00,
641185537,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
641185549,00000280,false,Rx,0,8,03,3D,C0,00,00,00,DC,40,
641189656,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
641189676,00000160,false,Rx,0,7,33,C3,20,00,08,FF,E8,00,
641189680,00000002,false,Rx,0,5,0D,00,00,07,5F,00,00,00,
641193741,00000174,false,Rx,0,8,FF,EF,FE,AA,0E,00,00,00,
641193753,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
641197895,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
641197911,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641197916,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641202014,00000002,false,Rx,0,5,0D,00,00,07,A0,00,00,00,
641202031,00000180,false,Rx,0,8,14,CD,32,03,3C,00,31,10,
641206072,00000174,false,Rx,0,8,FF,EF,FE,AA,0F,00,00,00,
641206089,00000285,false,Rx,0,8,00,00,00,00,00,00,60,E7,
641210150,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
641210199,000001F9,false,Rx,0,8,28,00,14,9B,00,00,51,A8,
641210204,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641214236,00000002,false,Rx,0,5,0D,00,00,07,B1,00,00,00,
641214254,00000174,false,Rx,0,8,FF,EF,FE,AA,00,00,00,00,
641218398,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641218418,00000176,false,Rx,0,7,00,00,02,50,00,00,0F,00,
641218423,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
641222415,00000182,false,Rx,0,8,00,00,00,00,00,15,00,CF,
641222429,00000551,false,Rx,0,8,7C,BF,00,80,FF,02,80,FF,
641226529,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
641226545,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
641226551,00000180,false,Rx,0,8,14,9B,32,23,3C,00,35,10,
641230638,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641230655,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
641234691,00000174,false,Rx,0,8,FF,EF,FE,AA,02,00,00,00,
641234705,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
641238811,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
641238831,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641238835,00000002,false,Rx,0,5,0D,00,00,07,E4,00,00,00,
641242888,00000160,false,Rx,0,7,33,C3,23,00,08,FF,E8,00,
641242900,00000174,false,Rx,0,8,FF,EF,FE,AA,03,00,00,00,
641247030,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
641247046,00000280,false,Rx,0,8,03,40,C0,00,00,00,DE,40,
641251139,00000160,false,Rx,0,7,33,C3,20,00,08,FF,E8,00,
641251154,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641251159,00000002,false,Rx,0,5,0D,00,00,07,F5,00,00,00,
641255213,00000176,false,Rx,0,7,00,00,02,50,00,00,03,00,
641255230,00000174,false,Rx,0,8,FF,EF,FE,AA,04,00,00,00,
641255235,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641259281,0000054C,false,Rx,0,8,78,78,C0,00,00,80,04,08,
641259297,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641263410,00000180,false,Rx,0,8,14,B4,31,F3,3C,00,39,10,
641263427,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
641267515,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
641267537,00000176,false,Rx,0,7,00,00,02,4D,00,00,04,00,
641271564,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641271576,00000002,false,Rx,0,5,0D,00,00,07,D7,00,00,00,
641271582,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
641275680,00000174,false,Rx,0,8,FF,EF,FE,AA,06,00,00,00,
641275698,00000354,false,Rx,0,8,00,00,00,00,00,00,04,00,
641279807,00000560,false,Rx,0,3,48,72,00,00,00,00,00,00,
641279824,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641279830,00000182,false,Rx,0,8,00,00,00,00,00,1B,00,CF,
641283886,000006E2,false,Rx,0,3,00,00,79,00,00,00,00,00,
641283903,00000174,false,Rx,0,8,FF,EF,FE,AA,07,00,00,00,
641287950,00000285,false,Rx,0,8,00,00,00,00,00,00,64,EB,
641287968,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
641292072,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641292087,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641292090,00000002,false,Rx,0,5,0D,00,00,07,39,00,00,00,
641296192,000001F9,false,Rx,0,8,28,00,14,9B,00,00,51,A8,
641296212,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641296216,00000176,false,Rx,0,7,00,00,02,4D,00,00,06,00,
641300266,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641300286,00000180,false,Rx,0,8,14,9B,32,23,3C,00,3D,10,
641304442,000001F9,false,Rx,0,8,28,00,14,9B,00,00,51,A8,
641304458,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
641308507,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DC,40,
641308523,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
641308526,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641312733,00000182,false,Rx,0,8,00,00,00,00,00,1E,00,CF,
641312751,000001F9,false,Rx,0,8,28,00,14,9B,00,00,51,A8,
641316643,00000176,false,Rx,0,7,00,00,02,4B,00,00,0A,00,
641316663,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
641316667,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641320813,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641320834,00000002,false,Rx,0,5,0D,00,00,07,6C,00,00,00,
641324899,00000180,false,Rx,0,8,14,9B,32,03,3C,00,3F,10,
641324917,00000551,false,Rx,0,8,7C,C0,00,80,FF,02,80,FF,
641324920,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
641329002,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
641329018,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641329021,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641332993,00000002,false,Rx,0,5,0D,00,00,07,7D,00,00,00,
641333009,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E0,
641337193,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641337213,00000160,false,Rx,0,7,33,C3,25,00,08,FF,E8,00,
641341203,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641341221,00000002,false,Rx,0,5,0D,00,00,07,4E,00,00,00,
641341227,00000180,false,Rx,0,8,14,9B,32,03,3C,00,31,10,
641345371,000001F9,false,Rx,0,8,28,00,14,9B,00,00,51,A8,
641345387,00000284,false,Rx,0,8,00,00,00,00,00,00,67,ED,
641349470,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
641349487,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641349490,00000002,false,Rx,0,5,0D,00,00,07,5F,00,00,00,
641353513,00000160,false,Rx,0,7,33,C3,20,00,08,FF,E8,00,
641353530,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
641357634,00000176,false,Rx,0,7,00,00,02,4D,00,00,0E,00,
641357653,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641357656,0000054C,false,Rx,0,8,78,78,C0,00,00,80,04,08,
641361716,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641361733,00000002,false,Rx,0,5,0D,00,00,07,A0,00,00,00,
641365842,00000160,false,Rx,0,7,33,C3,20,00,08,FF,E8,00,
641365856,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
641369933,00000180,false,Rx,0,8,14,9B,32,23,3C,00,32,10,
641369953,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641369957,00000002,false,Rx,0,5,0D,00,00,07,B1,00,00,00,
641374014,00000180,false,Rx,0,8,14,9B,32,03,3C,00,34,10,
641374033,000001F9,false,Rx,0,8,28,00,14,9B,00,00,51,A8,
641378113,00000560,false,Rx,0,3,48,73,00,00,00,00,00,00,
641378128,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641378150,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641382255,00000002,false,Rx,0,5,0D,00,01,07,92,00,00,00,
641382272,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641382275,00000160,false,Rx,0,7,33,C3,21,00,08,FF,E8,00,
641386270,00000174,false,Rx,0,8,FF,EF,FE,AA,01,00,00,00,
641386287,000006E2,false,Rx,0,3,00,00,7A,00,00,00,00,00,
641390393,00000180,false,Rx,0,8,14,9B,32,13,3C,00,35,10,
641390409,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641390412,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641394477,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
641394492,00000354,false,Rx,0,8,00,00,00,00,00,18,04,00,
641394495,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641398553,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
641398569,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641402651,00000002,false,Rx,0,5,0D,00,00,07,E4,00,00,00,
641402669,00000174,false,Rx,0,8,FF,EF,FE,AA,03,00,00,00,
641406762,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
641406780,000001F9,false,Rx,0,8,28,00,14,9B,00,00,51,A8,
641406786,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
641410885,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641410900,00000002,false,Rx,0,5,0D,00,00,07,F5,00,00,00,
641410903,00000176,false,Rx,0,7,00,00,02,4D,00,00,03,00,
641414961,00000174,false,Rx,0,8,FF,EF,FE,AA,04,00,00,00,
641414977,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
641419083,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641419099,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641423187,00000176,false,Rx,0,7,00,00,02,4D,00,00,04,00,
641423203,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
641423206,00000174,false,Rx,0,8,FF,EF,FE,AA,05,00,00,00,
641427231,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
641427247,00000176,false,Rx,0,7,00,00,02,49,00,00,05,00,
641431412,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641431428,00000002,false,Rx,0,5,0D,00,00,07,D7,00,00,00,
641435438,00000174,false,Rx,0,8,FF,EF,FE,AA,06,00,00,00,
641435454,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,00,00,
641435457,000001F9,false,Rx,0,8,28,00,14,B4,00,00,51,A8,
641439562,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641439579,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641443674,00000002,false,Rx,0,5,0D,00,00,07,28,00,00,00,
641443690,00000174,false,Rx,0,8,FF,EF,FE,AA,07,00,00,00,
641447735,00000285,false,Rx,0,8,00,00,00,00,00,00,6C,F3,
641447752,00000180,false,Rx,0,8,14,B4,31,D3,3C,00,3B,10,
641451834,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
641451850,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
641451853,00000002,false,Rx,0,5,0D,00,00,07,39,00,00,00,
641451857,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
641455907,00000174,false,Rx,0,8,FF,EF,FE,AA,08,00,00,00,
641455925,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
641460038,0000054C,false,Rx,0,8,78,78,C0,00,00,80,04,08,
641460055,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,CE,
